Course Information ID,Academic Year,Course Title,Offering ID,Offering Code,Offering Start Date,Offering End Date,Offering Status Code,Offering Status Description,Offering College Level Code,Offering College Level Description,Mode Of Attendance,Cost,Display Cost,Allow Applications,Allow Enquiries,Allow Enrolment,Course Introduction,Qualification Awarding Body,Delivery,Entry Requirements,Location,Progression Opportunities,Qualifications,Career Prospects,Additional Funding Information,Assessments,Course Content,Application And Interview Process,User Defined1,User Defined2,User Defined3,User Defined4,User Defined5,User Defined6,User Defined7,User Defined8,User Defined9,User Defined10,Area Of Interest1,Area Of Interest2,Area Of Interest3,Area Of Interest4,Area Of Interest5,Course Category1,Course Category2,Course Category3,Course Category4,Course Category5,Keywords,Qualification Of Study ID,Qualification Of Study Description,Qualification Of Study Description For Website,SCQF Level Programme Description,SCQF Level Programme ID,Application URL,Enrolment URL,Area Of Interest Taxonomy,Course Category Taxonomy
179,21/22,World Host: The Principles of Customer Service,188876,OSWHOS05PT0-001,,,L,Live,DEBI,DEBI,Part Time,97,NO,NO,YES,NO,"This course provides a Gold Standard in training for anyone wishing to work in business that relies on day-to-day interaction with customers. At the end of the course, participants will have an understanding of the importance of having excellent customer service skills, be able to describe and demonstrate the necessary skills to make communications effective. The skills and techniques learnt on the course are the principles of service professionalism.",,"One-day course including multiple-choice test. This course is delivered across the Scottish Borders, Edinburgh and Lothians. We can also deliver this on your premises subject to a minimum number of candidates.",No formal entry requirements,"Scottish Borders, Edinburgh",,Successful candidates will be awarded with a certificate and pin badge in Worldhost training accredited by People 1st.,,,,,,,,,,,,,,,,Customer Service,,,,,,,,,,,,,,05 - Intermediate 2/ National 5/ Credit standard/ SVQ 2,5,,,Customer Service,Part Time
180,21/22,Your Role in Providing a Safe Customer Experience,188878,OSPSCX04PT1-001,,,L,Live,DEBI,DEBI,Part Time,200,NO,NO,YES,NO,This two day course is designed to equip individuals with the following:The importance of Customer Service Understanding the customer needs Effective communication and listening skills Individual commitment to excellent customer service Prepare volunteers and venues for spectator events Maintain stewarding in designated areas Deal with spectator problems and emergencies Deal with accidents How to deal with conflict,,9am -5pm both days. Various venues throughout the Scottish Borders,,"Scottish Borders, Edinburgh",,"On successful completion of this two day course, candidates will receive certification from People 1st and Borders College",,,,,,,,,,,,,,,,Customer Service,Management,,,,,,,,,,,,,04 - Intermediate 1/ National 4/ General standard/SVQ 1,4,,,Customer Service|Management,Part Time
181,21/22,Scottish Certificate for Personal Licence Holders (Refesher),188875,OSPLHR06PT0-001,,,L,Live,DEBI,DEBI,Part Time,92,NO,NO,YES,NO,This course covers all aspects required for existing Scottish Personal Licence Holders to undertake the training as required by the Licensing Act (Scotland) 2005.,,"Delivered as a half-day (8.45 am to 1.00 pm) Due to the current pandemic situation, this course has been put on hold temporarily. To be kept up to date with future course dates, please contact a member of the Department of Business Enterprise and Innovation on 01450 361030 or email DEBI@borderscollege.ac.uk",Candidates must hold a current Scottish Personal Licence,Hawick Campus,,Scottish Certificate for Personal Licence Holders Refresher awarded by City and Guilds and accredited by the Scottish Qualifications Authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06 - Higher/ PDA Level 6/ SVQ 3,6,,,,Part Time
184,21/22,Scottish Personal Licence Holders Certificate,188877,OSPLHO06PT0-001,,,L,Live,DEBI,DEBI,Part Time,154,NO,NO,YES,NO,"Any member of staff authorising the sale of alcohol in a licensed premises is legally required to hold a Personal Licence, the Scottish Personal Licence Holders Certificate (Awarded by City and Guilds and Serve wise) enables individuals to apply for this licence. The course covers Licensing Law, Other Related Legislation, Alcohol and its influences and the Premises Environments and meets the requirements for training as detailed in the Licensing (Scotland) Act 2005.",,,"There are no formal entry requirements for this course, however, proof of identification eg, passport, driving licence, is required prior to registration.",Hawick Campus,,This course assists in complying with the training requirements and a City and Guilds certificate will be awarded on successful completion.,,,,,,,,,,,,,,,,Catering and Hospitality,,,,,,,,,,,,,,06 - Higher/ PDA Level 6/ SVQ 3,6,,,Catering and Hospitality,Part Time
185,21/22,Drone Awareness,188834,PBDRON04PT1-001,,,L,Live,DEBI,DEBI,Part Time,95,NO,NO,YES,NO,"In light of firmer regulations regarding the registration and use of unmanned aerial vehicles and in order to keep members of the public safe, it is essential that you are up to date on the requirements of safe flight.",,"One off session, 3.5 hours including STEM Hub tour. Parking available.","In light of the regulations regarding drone use tightening, this course will inform both current/potential recreational and commercial drone users of the steps they should take to fly legally. This is not a course to allow you to fly a drone commercially but it will inform on the basics of safe and legal flight, and highlight the steps to be taken by both recreational and commercial drone users.Drone ownership is not required for this course, it is not a flight course but an overview of the aspects required for safe flight, including:, Legislation and standards, Civil Aviation Authority registration, Airspace, Responsibilities, Weather, How to obtain permission for commercial operation (PfCO)",Hawick,"This course will provide you with the tools to develop safe practice for recreational flight of unmanned aerial vehicles (drones). Should you wish to use a drone commercially, you will be informed of the next steps you need to take and put in touch with our industry contacts to undertake the required training.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04 - Intermediate 1/ National 4/ General standard/SVQ 1,4,,,,Part Time
186,21/22,Spectator Safety Training,188879,PBSPST04PT1-001,,,L,Live,DEBI,DEBI,Part Time,103,NO,NO,YES,NO,This course is for anyone wishing a qualification in Spectator Safety across a number of sectors:. Prepare Stewards and Venues for Spectator Events. Maintain Stewarding in designatesd areas and deal with Spectator issues and emergencies. Deal with accidents and incidents. Manage conflict,,,,Hawick Campus,,,,,,,,,,,,,,,,,,Customer Service,,,,,,,,,,,,,,04 - Intermediate 1/ National 4/ General standard/SVQ 1,4,,,Customer Service,Part Time
187,21/22,Advance Food Hygiene REHIS,188825,AARIFH08PT0-001,,,L,Live,DEBI,DEBI,Part Time,,NO,NO,YES,NO,"This course is intended for managers, hygiene specialists and for trainers who wish to present Elementary Food Hygiene courses.",,"One week (5 days) from 9.00 am to 5.00 pm and consists of an essay type written examination plus submission of assignments. A substantial amount of study time is required. This course is delivered across the Scottish Borders, Edinburgh and Lothians. We can also deliver this on your premises subject to a minimum number of candidates.",Learners should already have REHIS (Royal Environmental Health Institute of Scotland) Intermediate Food Hygiene or other qualifications as approved by REHIS to be eligible to attend.,"Scottish Borders, Edinburgh and Lothians",,A Royal Environmental Health Institute of Scotland (REHIS) certificate will be awarded on successful completion.,,,,,,,,,,,,,,,,Catering and Hospitality,,,,,,,,,,,29,Advanced accredited qualification not specified elsewhere,,08 - HND/PDA Level 8/SVQ 4,8,,,Catering and Hospitality,Part Time
188,21/22,Sports First Aid,188880,OSSPFI05PT1-001,,,L,Live,DEBI,DEBI,Part Time,113,NO,NO,YES,NO,"On this course you will learn how to deal with the type of injuries and medical emergencies that can happen during sporting activities and we also cover the following topics:- . Asthma. Bleeding. Bone, muscle and joint injuries. Burns and scalds. Chest pains. Choking. Communication and casualty care. Emergencies in public. Head injury. Extremes of heat and cold. Primary survey. Resuscitation. The role of the first aider. Sprains and strains. The unconscious casualty",,,There are no formal entry requirements however this course is suitable for anyone involved in sporting activities - from referees and coaches to players.,Hawick Campus,,"On successful completion of this day course, with continuous assessment by the trainer, clients will gain an AOFA accredited certificate which is valid for three years.",,,,,,,,,,,,,,,,Health and Safety,,,,,,,,,,,,,,05 - Intermediate 2/ National 5/ Credit standard/ SVQ 2,5,,,Health and Safety,Part Time
189,21/22,An Introduction to Thermal Imaging for Construction.,188826,PBITHE04PT1-001,,,L,Live,DEBI,DEBI,Part Time,120,NO,NO,YES,NO,"Thermal imaging enables you to see far more than traditional diagnostic methods. You are use thermal imaging to see leaks without causing any damage to internal or external structures. It can also be used to diagnose electrical issues, insulation efficiency or optimal insulation locations, faults in solar photo voltaic panels and numerous other causes.",,"One off session, 2.5 hours including STEM Hub tour. Parking available.","This course is tailored to local businesses, whether they be business leaders, sole traders or anything in between, who are looking to be informed on the benefits of using thermal imaging to assess efficiency, quality and troubleshooting.Thermal imaging enables you to 'see' far more than you can with your eyes alone and is an excellent tool within all the trades, including: Plumbers Joiners Electricians Brick layers Ventilation specialists",Hawick,"Thermal images are also a great way to show clients the affect that your work is having on the efficiency and performance of their home.Increasing the energy efficiency of a home helps to lower energy bills, decrease emission and move towards net zero carbon emissions. An awareness of the power of thermal imaging to assess efficiency can lead towards an appreciation for more sustainable construction methods. Borders College offers several courses regarding the various aspects of sustainable construction and working towards a circular economy.",Borders College certification of 'An Introduction to Thermal Imaging for Construction.',,,,,,,,,,,,,,,,,,,,,,,,,,,PB,Programme not leading to recognised qualification (fully non-assessed courses including most non-vocational programmes),,04 - Intermediate 1/ National 4/ General standard/SVQ 1,4,,,,Part Time
190,21/22,Supported Food Safety (REHIS Approved),188881,OSSFSA05PT1-001,,,L,Live,DEBI,DEBI,Part Time,205,NO,NO,YES,NO,The course is designed for use in practical food environments where candidates learn through an ongoing support and guidance. Learning to ensure competence and knowledge is at a level to enable them to undertake a recognised Food Hygiene qualification at the end of the supported practical work.,,,,Hawick Campus,,On successful completion of the course candidates will be awarded a REHIS Elementary Food Hygiene Certificate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05 - Intermediate 2/ National 5/ Credit standard/ SVQ 2,5,,,,Part Time
191,21/22,Surveying and Levelling,188882,PBSULE05PT1-001,,,L,Live,DEBI,DEBI,Part Time,,NO,NO,YES,NO,This course involves a basic understanding of the levelling terms which are used in suveying and the origins as to where the levels originate. It will also use worked examples of the two booking methods used to reduce levels. The group will set out a small building and a drain run along with the necessary profiles to show the fall of the drain.,,,This course is aimed at persons with a basic knowledge of the construction industry or someone that would require a refresher of basic setting out.,Hawick Campus,,,,,,,,,,,,,,,,,,Construction,,,,,,,,,,,,,,05 - Intermediate 2/ National 5/ Credit standard/ SVQ 2,5,,,Construction,Part Time
192,21/22,Scottish Certificate for Personal Licence Holders (10 Year Renewal),188883,OSPLHT06PT0-001,,,L,Live,DEBI,DEBI,Part Time,95,NO,NO,YES,NO,This course covers all aspects required for existing Scottish Personal Licence Holders to undertake the training as required by the Licensing Act (Scotland) 2005 this requires to be taken 10 years after the initial training to meet the requirements to be able to apply to the relevant Licensing Board for renewal of the Personal Licence.,,,Candidates must hold a current Scottish Personal Licence,Hawick Campus,,Scottish Certificate for Personal Licence Holders Refresher awarded by City and Guilds and accredited by the Scottish Qualifications Authority,,,,,,,,,,,,,,,,Catering and Hospitality,,,,,,,,,,,,,,,,,,Catering and Hospitality,Part Time
193,21/22,Certificate in Mobile Air Conditioning System,188829,OSMOBA06PT1-001,,,L,Live,DEBI,DEBI,Part Time,,NO,NO,YES,NO,"This qualification is aimed at practicing electricians interested in understanding how to install the range of equipment and systems available for the charging of EV's. It covers the specialised installation requirements of electric vehicle charging equipment in public, private and commercial locations including exclusive guidance on electrical requirements.",,,The qualification is for those who already work in the motor vehicle industry.,"Scottish Borders, Edinburgh and Lothians",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06 - Higher/ PDA Level 6/ SVQ 3,6,,,,Part Time
194,21/22,BIM (Building Information Modelling) Awareness.,188827,OSBIMA05PT1-001,,,L,Live,DEBI,DEBI,Part Time,120,NO,NO,YES,NO,BIM is the gold standard and brings with it a host of opportunities to work more efficiently in many aspects of construction. This course offers the opportunity to gain an overview of the aspects of BIM and audit yourself towards being BIM ready.,,"One off session, 3.5 hours including STEM Hub tour. Parking available.","This course is tailored to local businesses, whether than be business leaders, sole traders or anything in between, who are looking to be informed with up to date practice and are considering venturing into the world of Building Information Modelling. This course will provide an overview of what BIM is and the key aspects of BIM, including:, The relevant standards, BIM levels, Common Data Environments, COBie spreadsheets, Employer's Information Requirements, Information Delivery Plans, Procuring projects that require BIM",Hawick,"New housing regulations will be championing BIM and should not be ignored. Make sure that you are keeping up to date with best practice. Depending on the level at which you are operating or wish to grow towards, there are different levels of BIM; these depending on project size and value. All parties within a project should be BIM proficient, enabling procurement within more projects and you will be able to utilise this course to cut through the jargon and see what your next steps should be.",Borders College certification of 'BIM Awareness',,,,,,,,,,,,,,,,,,,,,,,,,,,PB,Programme not leading to recognised qualification (fully non-assessed courses including most non-vocational programmes),,05 - Intermediate 2/ National 5/ Credit standard/ SVQ 2,5,,,,Part Time
195,21/22,Biomass Renewable Awareness,188828,PBBIOM04PT1-001,,,L,Live,DEBI,DEBI,Part Time,,NO,NO,YES,NO,,,,,"Scottish Borders, Edinburgh and Lothians",,,,,,,,,,,,,,,,,,,,,,,,,,,,,PB,Programme not leading to recognised qualification (fully non-assessed courses including most non-vocational programmes),,04 - Intermediate 1/ National 4/ General standard/SVQ 1,4,,,,Part Time
196,21/22,"City & Guilds (2919-01) Level 3 Award in Domestic, Commercial and Industrial Electric Vehicle Charging Equipment Installation",188830,VQDCEV06PT1-003,,,L,Live,DEBI,DEBI,Part Time,,NO,NO,YES,NO,"This qualification is aimed at practicing electricians interested in understanding how to install the range of equipment and systems available for the charging of EV's. It covers the specialised installation requirements of electric vehicle charging equipment in public, private and commercial locations including exclusive guidance on electrical requirements.",City & Guilds,Delivered over 2 days 9am - 4:30pm - both days,"Candidates must be over 18 years of age and be able to demonstrate the following competencies*: ,Be able to correctly install and terminate PVC/PVC cable (twin and earth) and Steel Wire armoured cable (SWA) Be able to carry out an initial verification (inspection & testing) on an electrical installation and complete the necessary paperwork*(These competencies are required for the assessment and are not taught as part of the course.)Candidates are also required to bring the current edition of the IET Standards Code of Practice for Electric Charging Equipment Installation with them.",Hawick Campus,"It will enable existing electricians to branch out into EV charging equipment and generate extra income, or become an out-an-out specialist installer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06 - Higher/ PDA Level 6/ SVQ 3,6,,,,Part Time
197,21/22,City and Guilds PAT Testing Course,188831,OSPATT06PT1-001,,,L,Live,DEBI,DEBI,Part Time,,NO,NO,YES,NO,This two-day theory-based City & Guilds 237-22 course is designed for anyone currently responsible for the maintenance of portable appliances in a work environment. or anyone seeking to take up PAT testing as a career. The course cost includes a copy of the IET Code of Practice (4th Edition) In-Service Inspection and Testing of Electrical Equipment and course notes.,,,Applicants who do not have an electrical background should complete the one day Electrical Awareness course prior to commencement of this course.,"Borders College, Galashiels Campus",,A GOLA exam will take place on the afternoon of the second day.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06 - Higher/ PDA Level 6/ SVQ 3,6,,,,Part Time
198,21/22,Customer Care,188832,PBCUST04PT1-001,,,L,Live,DEBI,DEBI,Part Time,133,NO,NO,YES,NO,"Here we look at the purpose of your business, your vision of the future and whether or not you are heading towards it. We spend time putting ourselves in the shoes of our customers and considering the service we provide. In particular we spend time looking at the customer interaction cycle and the development of key skills for delivering customer care:Positive LanguageListeningQuestioningNon Verbal communicationTurning complaints into opportunities",,,No formal entry requirements.,"This course is delivered across the Scottish Borders, Edinburgh and Lothians. We can also deliver this on your premises subject to a minimum number of candidates.",,A Borders College Certificate of Attendance will be awarded on successful completion.,,,,,,,,,,,,,,,,,,,,,,,,,,,PB,Programme not leading to recognised qualification (fully non-assessed courses including most non-vocational programmes),,04 - Intermediate 1/ National 4/ General standard/SVQ 1,4,,,,Part Time
199,21/22,Domestic Vented and Unvented Water Storage,188833,OSDOVU06PT1-001,,,L,Live,DEBI,DEBI,Part Time,,NO,NO,YES,NO,,,,,"Scottish Borders, Edinburgh and Lothians",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06 - Higher/ PDA Level 6/ SVQ 3,6,,,,Part Time
201,21/22,Elementary Control of Infection (REHIS),188836,OSCOIN05PT1-001,,,L,Live,DEBI,DEBI,Part Time,98,NO,NO,YES,NO,"This course is aimed at non-NHS staff who provide a Care Service in Care Homes, Care at Home and Care of Children and Young People Early Education and Childcare and covers the following topics: hazards, risks, how to break the infection chain, responsibilities and complying with legislation.",,"A one-day course including a multiple choice examination. This course is delivered across the Scottish Borders, Edinburgh and Lothians. We can also deliver this on your premises subject to a minimum number of candidates.",No formal entry requirements,"Scottish Borders, Edinburgh and Lothians",,A REHIS certificate will be awarded on successful completion.,,,,,,,,,,,,,,,,,,,,,,,,,,,37,Non-advanced accredited qualification not specified elsewhere,,05 - Intermediate 2/ National 5/ Credit standard/ SVQ 2,5,,,,Part Time
202,21/22,Elementary Food and Health (REHIS),188838,OSFOOH05PT0-001,,,L,Live,DEBI,DEBI,Part Time,78,NO,NO,YES,NO,"This course is designed to cover the Food, Energy Measurements, Eating for Health and Action Planning in line with National Initiatives. The course is aimed at individuals who are employed where food and its preparation is part of their job role.",,"One-day course including multiple choice examination, it can also be delivered over two half-day sessions. This course is delivered across the Scottish Borders, Edinburgh and Lothians. We can also deliver this on your premises subject to a minimum number of candidates.",No formal entry requirements,"Scottish Borders, Edinburgh and Lothians",,A REHIS certificate will be awarded on successful completion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05 - Intermediate 2/ National 5/ Credit standard/ SVQ 2,5,,,,Part Time
203,21/22,Elementary Food Hygiene (REHIS),188837,OSHYGI05PT0-001,,,L,Live,DEBI,DEBI,Part Time,78,NO,NO,YES,NO,"This course is designed to cover the Food, Energy Measurements, Eating for Health and Action Planning in line with National Initiatives. The course is aimed at individuals who are employed where food and its preparation is part of their job role.",,"One-day course including multiple choice examination, it can also be delivered over two half-day sessions. This course is delivered across the Scottish Borders, Edinburgh and Lothians. We can also deliver this on your premises subject to a minimum number of candidates.",No formal entry requirements,"Scottish Borders, Edinburgh and Lothians",,A REHIS certificate will be awarded on successful completion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05 - Intermediate 2/ National 5/ Credit standard/ SVQ 2,5,,,,Part Time
204,21/22,Elementary Health and Safety,188839,OSEHES05PT1-001,,,L,Live,DEBI,DEBI,Part Time,98,NO,NO,YES,NO,"Topics covered include: Health and Safety Law, risk assessment, the working environment, slips, trips and falls, hazardous substances, occupational health, machinery and equipment, manual handling, electricity at work, fire, accidents and emergencies.",,"This is a one-day course with a multiple choice assessment. This course is delivered across the Scottish Borders, Edinburgh and Lothians. We can also deliver this on your premises subject to a minimum number of candidates. One-day course including testing. This course is delivered across the Scottish Borders, Edinburgh and Lothians. We can also deliver this on your premises subject to a minimum number of candidates.",,"Scottish Borders, Edinburgh and Lothians",,A REHIS certification is awarded on successful completion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05 - Intermediate 2/ National 5/ Credit standard/ SVQ 2,5,,,,Part Time
205,21/22,Emergency First Aid at Work (REHIS),188840,OSEFAW04PT0-001,20/08/2021 00:00,20/08/2021 00:00,L,Live,DEBI,DEBI,Part Time,133,NO,NO,YES,YES,"This course is ideal for smaller workplaces that present few health and safety risks and is suitable for nominated Emergency First Aiders or anyone wanting a comprehensive one day first aid course. Course content includes Health and Safety (First Aid) Regulations, managing an incident, the priorities of First Aid, treatment of the unconscious casualty, resuscitation (CPR), shock, bleeding, common workplace injuries.",,"One-day course including testing. This course is delivered across the Scottish Borders, Edinburgh and Lothians. We can also deliver this on your premises subject to a minimum number of candidates.Due to the current pandemic situation, this course has been put on hold temporarily. To be kept up to date with future course dates, please contact a member of the Department of Enterprise and Business Innovation on 01450 361030 or email DEBI@borderscollege.ac.uk",No formal entry requirements,Borders CollegeGalashiels CampusHawick Campus,,A Royal Environmental Health Institute of Scotland (REHIS) certificate will be awarded on successful completion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05 - Intermediate 2/ National 5/ Credit standard/ SVQ 2,5,,,,Part Time
206,21/22,Employability Skills - Hospitality,188841,PBEMSH04PT1-001,,,L,Live,DEBI,DEBI,Part Time,200,NO,NO,YES,NO,This two day course is designed to equip candidates with necessary training and certification to enhance employability skills whilst seeking employment in the hospitality sector.Food Safety training to the level required as part of the Food Safety Act 1990 and the importance of customer needs are key skills for anyone wishing to gain successful employment in the hospitality industry.,,9am - 5pm both days. Various venues throughout the Scottish Borders,,,,"On successful completion of this two day course, candidates will receive certification from Royal Environmental Health Institute of Scotland (REHIS) and People 1st.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04 - Intermediate 1/ National 4/ General standard/SVQ 1,4,,,,Part Time
207,21/22,Employability Skills for the Workplace,188842,PBEMSW04PT1-001,,,L,Live,DEBI,DEBI,Part Time,200,NO,NO,YES,NO,This two-day course is designed to equip candidates with necessary training and certification to enhance employability skills.,,"Available across the Scottish Borders, Edinburgh and Lothians.",,"Scottish Borders, Edinburgh",,"Candidates who successfully complete the two day programme will obtain an Emergency First Aid at Work certificate which will be valid for 3 years and a British Safety Council (BSC) Level 2 Award in Health and Safety in the Workplace. On successful completion of this two day course, candidates will receive certification from the Association of First Aiders (AOFA) and British Safety Council (BSC).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04 - Intermediate 1/ National 4/ General standard/SVQ 1,4,,,,Part Time
208,21/22,First Aid at Work (2-Day Requalification) (REHIS),188843,OSFAIW06PT0-001,,,L,Live,DEBI,DEBI,Part Time,171,NO,NO,YES,NO,This course is suitable for people wishing to renew a valid First Aid at Work certificate. First Aiders whose certificates have expired for more than 28 days must attend the three day First Aid at Work course. Candidates must provide the organisation with a copy of their three day Accredited First Aid at Work certificate prior to course commencement.,,"This two-day course is delivered across the Scottish Borders, Edinburgh and Lothians. We can also deliver this on your premises subject to a minimum number of candidates. Due to the current pandemic situation, this course has been put on hold temporarily. To be kept up to date with future course dates, please contact a member of the Department of Enterprise and Business Innovation on 01450 361030 or email DEBI@borderscollege.ac.uk",,"Scottish Borders, Edinburgh",,An Awarding Body certificate will be awarded on successful completion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06 - Higher/ PDA Level 6/ SVQ 3,6,,,,Part Time
209,21/22,First Aid at Work (3 Day) (REHIS),188844,OSFAIW05PT0-001,,,L,Live,DEBI,DEBI,Part Time,267,NO,NO,YES,NO,This course covers the practical skills needed by a first aider in the modern workplace. The course will give you the confidence and knowledge to deal with first aid emergencies and is suitable for nominated first aiders or anyone wanting a comprehensive first aid course.,,"This three-day course is delivered across the Scottish Borders, Edinburgh and Lothians and can also be delivered on your premises.",,Hawick Campus,,An Awarding Body certificate will be awarded on successful completion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05 - Intermediate 2/ National 5/ Credit standard/ SVQ 2,5,,,,Part Time
210,21/22,Ground Source Heat Pumps Renewable Awareness,188845,PBGRHP04PT1-001,,,L,Live,DEBI,DEBI,Part Time,,NO,NO,YES,NO,"This course is suitable for installers, building planners and gives an insight on what is needed in order to fit a Ground Source Heat Pump, the different types of loops to take the heat out of the ground, costs, planning permission.",,,Candidates should have SVQ III Plumbing.,"Scottish Borders, Edinburgh",,A Borders College Certificate of Attendance will be awarded on completion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04 - Intermediate 1/ National 4/ General standard/SVQ 1,4,,,,Part Time
211,21/22,Health & Safety in the Workplace BSC Level 2 Award,188846,OSHSWO05PT1-001,,,L,Live,DEBI,DEBI,Part Time,,NO,NO,YES,NO,"Nationally recognised qualification aimed at all employees, covering all essential knowledge of Health and Safety in the workplace and is suitable for all sectors. The one day course is supported by excellent course materials and is assessed by a multiple choice paper at the end of the course.",,"This is a one-day course including multiple-choice exam. This course is delivered across the Scottish Borders, Edinburgh and Lothians. We can also deliver this on your premises subject to a minimum number of candidates.",No formal entry requirements.,Borders CollegeGalashiels CampusHawick Campus,,BSC Level 2 Award in Health and Safety in the Workplace.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05 - Intermediate 2/ National 5/ Credit standard/ SVQ 2,5,,,,Part Time
212,21/22,"HIV, Hepatitis B & Hepatitis C Infections",188847,NUHIVH06PT1-001,,,L,Live,DEBI,DEBI,Part Time,,NO,NO,YES,NO,"Intended to increase staff awareness of the nature of HIV infection, Hepatitis B and Hepatitis C and their effects.The course covers the following: how infection is spread and the measures which can help prevent and control infection, promoting an understanding of discrimination, prejudice and stereotyping and how it might be challenged in this context.",SQA - (Scottish Qualifications Authority),A Self-Study module with closed book assessment.,,"Scottish Borders, Edinburgh",Stand alone modules or progression to Children's Care Learning and Development awards.,SQA certificate awarded on successful completion.,,,,,,,,,,,,,,,,Care and Education,,,,,,,,,,,,,,06 - Higher/ PDA Level 6/ SVQ 3,6,,,Care and Education,Part Time
213,21/22,"Industrial tailored Award - Control Systems, Fault Diagnosis and Rectification",188848,OSINCS06PT1-001,,,L,Live,DEBI,DEBI,Part Time,,NO,NO,YES,NO,"This course is designed to familiarise multi-disciplined maintenance engineers with common motor control systems and heating process controls and will cover the correct use of test instruments, procedures for fault diagnosis and rectification. Component identification (sensors, relays, solid state relays) will be included to asist engineers identify and source replacement components or select a suitable alternative.",,This course would be tailored to suit the individual companies' requirements and would require a site visit from our staff to discuss your needs.,,"Scottish Borders, Edinburgh",,,,,,,,,,,,,,,,,,Engineering and Motor Vehicle,,,,,,,,,,,,,,06 - Higher/ PDA Level 6/ SVQ 3,6,,,Engineering and Motor Vehicle,Part Time
214,21/22,Industrial Tailored Award - Electrical Awareness and Safe Isolation,188849,OSINEA06PT1-001,,,L,Live,DEBI,DEBI,Part Time,,NO,NO,YES,NO,This industry based course is a legal requirement for plumbers to be able to practice as a fully qualified gas operative. This certificate must be renewed every five years in accordance with legislation.,,Five days training and two days assessments for the initial CCN1 qualification. To be arranged with the Gas Training Centre staff.,"To be eligible for this course you must have a recognised plumbing qualification. (SVQ Level 3, City & Guilds Advanced Craft or equivalent).","Scottish Borders, Edinburgh",,"Subject to satisfactory completion of training and assessments, additional training and assessments for specialised areas can be discussed and arranged with the Centre.",,,,,,,,,,,,,,,,Engineering and Motor Vehicle,,,,,,,,,,,,,,06 - Higher/ PDA Level 6/ SVQ 3,6,,,Engineering and Motor Vehicle,Part Time
215,21/22,Intermediate Food Hygiene (REHIS),188850,AARIFH07PT0-001,,,L,Live,DEBI,DEBI,Part Time,408,NO,NO,YES,NO,"This course is essential for those supervising the handling and preparation of food and covers bacteriology, bacterial food poisoning, food borne infection, non-bacterial food poisoning, food contamination and its prevention, personal hygiene, food storage and temperature control, food preservation, design, construction and maintenance of food premises, cleaning and disinfection, pest control, hazard analysis and legislation.",,Course delivered as 3 full days and 3 half-days over 6 weeks,,Borders CollegeGalashiels Campus,REHIS Advanced Food Hygiene.,A Royal Environmental Health Institute of Scotland (REHIS) certificate will be awarded on successful completion.,,,,,,,,,,,,,,,,Catering and Hospitality,,,,,,,,,,,,,,07 - Advanced Higher / Scottish Bacc/ HNC/ PDA Level 7/SVQ 3,7,,,Catering and Hospitality,Part Time
216,21/22,Intermediate HACCP Practices Code (REHIS),188851,AAHACC07PT1-001,,,L,Live,DEBI,DEBI,Part Time,498,NO,NO,YES,NO,"This course is designed to give a detailed understanding of Hazard Analysis and Critical Control Points and covers: Principles of HACCP and their use to control food hazards, Practical application of HACCP, The role of training in implementing HACCP and HACCP and the Law.",,One-day course including multiple choice examination. Assessment for the course will involve participants undertaking tutor marked written assessments and an examination.,,,,REHIS Intermediate HACCP Practices certificate awarded on successful completion.,,,,,,,,,,,,,,,,Catering and Hospitality,,,,,,,,,,,,,,07 - Advanced Higher / Scottish Bacc/ HNC/ PDA Level 7/SVQ 3,7,,,Catering and Hospitality,Part Time
217,21/22,Introduction to Food Hygiene (REHIS),188852,OSIFOO04PT1-001,,,L,Live,DEBI,DEBI,Part Time,41,NO,NO,YES,NO,"This course is aimed at individuals entering the food industry for the first time and is also suitable for those with an ancillary food handling role eg, Care Assistants, Kitchen Support Staff. Course Content includes:BacteriaCauses of Food PoisoningPrevention of Food PoisoningSafe Food ProductionThe essentials of Food Hygiene",,"This half-day course is delivered across the Scottish Borders, Edinburgh and Lothians. We can also deliver this on your premises subject to a minimum number of candidates.",There are no formal entry requirements for this course.,Borders CollegeGalashiels CampusHawick Campus,,A Royal Environmental Health Institute of Scotland (REHIS) certificate will be awarded on successful completion.,,,,,,,,,,,,,,,,Catering and Hospitality,,,,,,,,,,,,,,04 - Intermediate 1/ National 4/ General standard/SVQ 1,4,,,Catering and Hospitality,Part Time
